NUTS1;NUTS2;NUTS3;NUTS3_NAME;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;TOUR_REG;REGION;STATUS;POP_TOTAL;AREA
AT2;AT22;AT221;Graz;601;Graz-Stadt;60101;Graz ;Region Graz;Steirischer Zentralraum;Statutarstadt;269997;12748,16
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60305;Frauental an der Laßnitz ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;2888;1558,38
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60318;Lannach ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;3337;1987,23
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60323;Pölfing-Brunn ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;1635;615,86
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60324;Preding ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;1687;1822,99
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60326;Sankt Josef (Weststeiermark) ;Süd-Weststeiermark;Südweststeiermark;Gemeinde;1438;1330,29
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60329;Sankt Peter im Sulmtal ;Süd-Weststeiermark;Südweststeiermark;Gemeinde;1336;1098,38
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60341;Wettmannstätten ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;1555;1797,49
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60344;Deutschlandsberg ;Süd-Weststeiermark;Südweststeiermark;Stadtgemeinde ;11382;17908,37
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60345;Eibiswald ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;6669;15203,84
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60346;Groß Sankt Florian ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;4229;4877,67
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60347;Sankt Martin im Sulmtal ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;3099;3918,47
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60348;Sankt Stefan ob Stainz ;Süd-Weststeiermark;Südweststeiermark;Gemeinde;3548;4923,44
AT2;AT22;AT225;West- und Südsteiermark;603;Deutschlandsberg;60349;Schwanberg ;Süd-Weststeiermark;Südweststeiermark;Marktgemeinde;4665;12418,69
