Bezirk;Zulassungsnummer;Betriebsname;Straﬂe;Hausnummer;PLZ;Ort;H‰ndler;Handelseinrichtung;Sammelstelle
DL;AT LT 61916;"Bruno Picker Vieh- und Schweinehandel
Transportgesellschaft m.b.H.";Vocherastraﬂe;10;8522;Gr. St. Florian;x;;
DL;AT LT  61924;Kogler Franz A. GmbH;Aichberg;120;8552;Eibiswald;x;x;
G;AT LT 61929;Gerald & Ralph Zsifkovits OG;Neusitzstraﬂe;90;8044;Graz-Mariatrost;x;;x
GU;AT LT 61926;Gerald Sifkovits e.U.;Oberberg;6;8143;Dobl;x;;x
HF;AT LT 61952;"Zucht- und
Nutztiervermarktungszentrum
Ost- und Weststeiermark
registrierte Genossenschaft
mit beschr‰nkter Haftung";"Gewerbepark Greinbach
Penzendorf";268;8230;Hartberg;;;x
LB;AT LT 61908;Styriabrid GmbH;Landscha an der Mur;10;8424;Gabersdorf;;;x
LB;AT LT 60315;Unger Maria Magdalena;Maxlon;37;8430;Leibnitz;x;;
LB;AT LT 61917;Styriabrid GmbH;Schulstraﬂe (St. Veit a. Vogau) ;14;8423;St. Veit a. Vogau;x;;
LB;AT LT 61927;Klement Gerhard;Lamperst‰tten;30;8505;St. Nikolai i.S.;x;;
LB;AT LT 61928;Lechner Gerald e.U.;Triftweg (Wagendorf);22;8423;St. Veit a. Vogau;x;;
LB;AT LT 61972;Kumpitsch Johannes;Untergreith;93;8453;St. Johann i.S.;x;;
LB;AT LT 62027;Nistl OG;Heimschuh;225;8451;Heimschuh;x;;
LB;AT LT 62029;Stelzl Heinz;Oberfahrenbach;29;8452;Groﬂklein;x;;
LB;AT LT 62030;Stelzl Wilhelm Viehhandel GmbH;Kleinklein;9;8452;Groﬂklein;x;;
LI;AT LT 61905;Braunvieh Thomahof eG;Klachau;42;8982;Tauplitz;;;x
LN;AT LT 61957;"Oberlandhalle registrierte
Genossenschaft mit beschr‰nkter
Haftung";Pichlmayergasse;18;8700;Leoben;;;x
MT;AT LT 61938;Penz Franz Josef Ing.;Rattenbergerweg;12;8740;Zeltweg;x;;x
MT;AT LT 61911;"Erzeugergemeinschaft ""Steirisches 
Rind"" Vertriebs-GmbH";Landstraﬂe (Fohnsdorf);27;8753;Fohnsdorf;x;;x
MU;AT LT 61921;Petzl Franz Josef;Glanz;81;8843;St. Peter am Kammersberg;x;;x
SO;AT LT 61988;Schalk-Nutztiere GmbH;Eichkˆgl;97;8322;Studenzen;x;;x
SO;AT LT 62215;Tschiggerl Ingeborg;Unterpurkla;79;8484;Unterpurkla;x;;
SO ;AT LT 61914;Tschiggerl Josef;Unterpurkla;76;8484;Unterpurkla;x;;
VO;AT LT 60213;Penz Franz Josef Ing.;Oberer Kreuzberg;749;8583;Edelschrott;x;;x
VO;AT LT 61909;Penz Export und Import Ges.m.b.H.;Oberer Kreuzberg;749;8583;Edelschrott;x;x;
